Stock;Model;Preprocessing;CrossValidation;Parameters;Accuracy_1Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_1Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_1Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_1Days_[-inf, -1.5, 1.5, inf];Accuracy_1Days_[-inf, 0, inf];Accuracy_5Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_5Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_5Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_5Days_[-inf, -1.5, 1.5, inf];Accuracy_5Days_[-inf, 0, inf];Accuracy_10Days_[-inf, -1.5, 1.5, inf];PreicisionMicro_10Days_[-inf, -1.5, 1.5, inf];PrecisionMarco_10Days_[-inf, -1.5, 1.5, inf];PrecisionWeighted_10Days_[-inf, -1.5, 1.5, inf];Accuracy_10Days_[-inf, 0, inf];training_time;prediction_time;round
;;;;;Best result;Dummy baseline;Best result;Dummy baseline;;;;;;;;;;;;;;
;;;"Time 
Window";1-day;0,5802;0,5432;0,5309;0,5185;;;;;;;;;;;;;;
;;;;5-days;0,6749;0,6543;0,5226;0,5226;;;;;;;;;;;;;;
;;;;10-days;0,7131;0,7131;0,6461;0,6461;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;AMGN;;;;;;;;;;;;;;;;;;;
;;;"Validation
 Results";;"Classification
Target";;;;;;;;;;;;;;;;;
;;;;;"Price Direction 
(2 classes)";;"Market Opportunities 
(3 classes)";;;;;;;;;;;;;;;
;;;;;Best result;Dummy baseline;Best result;Dummy baseline;;;;;;;;;;;;;;
;;;"Time 
Window";1-day;0,5062;0,4609;0,6502;0,6502;;;;;;;;;;;;;;
;;;;5-days;0,5844;0,4856;0,4074;0,2963;;;;;;;;;;;;;;
;;;;10-days;0,6049;0,4609;0,5185;0,3580;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;TSLA;;;;;;;;;;;;;;;;;;;
;;;"Validation
 Results";;"Classification
Target";;;;;;;;;;;;;;;;;
;;;;;"Price Direction 
(2 classes)";;"Market Opportunities 
(3 classes)";;;;;;;;;;;;;;;
;;;;;Best result;Dummy baseline;Best result;Dummy baseline;;;;;;;;;;;;;;
;;;"Time 
Window";1-day;0,5720;0,5679;0,4321;0,2634;;;;;;;;;;;;;;
;;;;5-days;0,6434;0,6667;0,5967;0,6049;;;;;;;;;;;;;;
;;;;10-days;0,7449;0,7449;0,6996;0,6996;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;"Validation
 Results";;"Classification
Target";;;;;;;;;;;;;;;;;
;;;;;"Price Direction 
(2 classes)";;"Market Opportunities 
(3 classes)";;;;;;;;;;;;;;;
;;;"Time 
Window";1-day;1 day [-inf,0,+inf];;1 day [-inf,-1.5,0,1.5,+inf];;;;;;;;;;;;;;;
;;;;5-days;5 days [-inf,0,+inf];;5 days [-inf,-1.5,0,1.5,+inf];;;;;;;;;;;;;;;
;;;;10-days;10 days [-inf,0,+inf];;10 days [-inf,-1.5,0,1.5,+inf];;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
